observed_on,latitude,longitude,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,positional_accuracy,geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_state_name,species_guess,common_name,taxon_family_name,taxon_genus_name,scientific_name,iconic_taxon_name,taxon_id,id
20150917,41.304872,-75.612144,2015-09-17 13:48:55 UTC,Eastern Time (US & Canada),,134370,lagness,2015-09-19 12:25:39 UTC,2017-11-09 21:22:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1961708,https://static.inaturalist.org/photos/2403602/medium.jpg?1442665570,,Nice parr markings!,FALSE,1,0,FALSE,3,"1522 Springbrook Ave, Spring Brook, PA, US",2192,,FALSE,,,,Pennsylvania,Brown Trout,Brown Trout,Salmonidae,Salmo,Salmo trutta,Actinopterygii,47518,1961708
20150904,-41.101982,175.364746,,Auckland,,59227,lisa_bennett,2015-09-22 07:17:44 UTC,2017-06-22 01:59:41 UTC,research,CC-BY-NC,http://naturewatch.org.nz/observations/1971677,https://static.inaturalist.org/photos/2416180/medium.JPG?1442906417,,This trout was found beside a concreted water-race through a private garden. It appears that it leapt out of the water and became stranded on land. ,TRUE,1,0,FALSE,,Tauherenikau,193,,FALSE,,,,Wellington,Brown Trout,Brown Trout,Salmonidae,Salmo,Salmo trutta,Actinopterygii,47518,1971677
20150919,48.049119,-122.788466,,Pacific Time (US & Canada),FALSE,27263,wendy5,2015-09-22 16:17:04 UTC,2017-04-05 22:48:57 UTC,research,,http://www.inaturalist.org/observations/1972890,https://static.inaturalist.org/photos/2417578/medium.jpg?1442938631,fish,"We saw about 25 Chum Salmon migrating up Chimacum Creek to their spawning grounds. Historic and amazing to see, especially since this creek was so destroyed by logging practices that no salmon were seen for years until it was restored just a few years ago.",FALSE,1,0,FALSE,,"kala point, wa",,,FALSE,,,,Washington,Chum Salmon,Chum Salmon,Salmonidae,Oncorhynchus,Oncorhynchus keta,Actinopterygii,107572,1972890
20150916,60.73733,-151.202906,2015-09-16 16:44:56 UTC,Alaska,TRUE,46255,mbowser,2015-09-23 16:39:04 UTC,2017-04-05 22:48:59 UTC,research,CC-BY,http://www.inaturalist.org/observations/1976963,https://static.inaturalist.org/photos/2421968/medium.jpg?1443026349,,,FALSE,2,0,FALSE,,"Nikiski, Daniels Lake",20,,FALSE,,,,Alaska,Sockeye Salmon,Sockeye Salmon,Salmonidae,Oncorhynchus,Oncorhynchus nerka,Actinopterygii,69922,1976963
20150926,51.052537,-114.123015,2015-09-26 18:00:00 UTC,Mountain Time (US & Canada),,34719,rbbrummitt,2015-09-26 19:47:58 UTC,2017-11-20 02:57:34 UTC,research,CC-BY-NC,http://inaturalist.ca/observations/2002052,https://static.inaturalist.org/photos/2436031/medium.jpg?1443296955,,,FALSE,2,0,FALSE,,"Bow River, Calgary, Alberta",77,,FALSE,,,,,Brown Trout,Brown Trout,Salmonidae,Salmo,Salmo trutta,Actinopterygii,47518,2002052
20150702,40.694233,-74.874835,,Eastern Time (US & Canada),TRUE,107003,reelfisher,2015-09-27 16:33:53 UTC,2017-04-05 22:49:06 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2005345,https://static.inaturalist.org/photos/2440220/medium.JPG?1443371674,,Trout I caught,FALSE,1,0,FALSE,,ken lockwood gorge,188,,FALSE,,,,New Jersey,Rainbow Trout,Rainbow Trout,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Actinopterygii,47516,2005345
20150912,-42.39831167,173.6821583,2015-09-11 22:52:33 UTC,Auckland,TRUE,58792,brynw,2015-09-29 05:03:37 UTC,2016-12-27 01:00:28 UTC,research,CC-BY-NC,http://naturewatch.org.nz/observations/2010857,https://static.inaturalist.org/photos/2448660/medium.jpg?1443503580,,"2 NZ chinook salmon. Larger one female, smaller one male. ",FALSE,1,0,FALSE,3,"Kaikoura, NZ-CA, NZ",,,FALSE,,,,Canterbury,Chinook Salmon,Chinook Salmon,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,Actinopterygii,54191,2010857
20150413,38.51362,-122.883498,,Pacific Time (US & Canada),FALSE,139720,kory,2015-09-30 16:57:41 UTC,2017-04-05 22:49:16 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2015815,https://static.inaturalist.org/photos/2455307/medium.JPG?1443633653,,,FALSE,1,0,FALSE,,Russian River,,,FALSE,,,,California,Rainbow Trout,Rainbow Trout,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Actinopterygii,47516,2015815
20150807,9.564375,-83.801252,,Pacific Time (US & Canada),TRUE,3342,hfabian,2015-10-01 01:32:28 UTC,2017-03-03 01:16:57 UTC,research,,http://www.inaturalist.org/observations/2017537,https://static.inaturalist.org/photos/2457887/medium.jpg?1443663150,,Introduced to Savegre River. ,FALSE,1,0,FALSE,,"Savegre Reserve, Costa Rica",65,,FALSE,,,,,Rainbow Trout,Rainbow Trout,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Actinopterygii,47516,2017537
20150926,39.20380833,-120.2512667,2015-09-26 19:25:26 UTC,Pacific Time (US & Canada),TRUE,21318,danielgeorge,2015-10-03 17:17:35 UTC,2018-01-28 00:59:48 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2051925,https://static.inaturalist.org/photos/2469734/medium.JPG?1443892713,,,FALSE,2,0,FALSE,,"Shirley Lake Trail, Tahoe National Forest",10,,FALSE,,,,California,Brook Trout,Brook Trout,Salmonidae,Salvelinus,Salvelinus fontinalis,Actinopterygii,49596,2051925
